,player_name,pitcher,Split,zone,xwOBA,IsBIP,BatterName,batter
14464,,,R,6,0.309578125,60,Vinnie Pasquantino,686469.0
436,Shane Smith,681343.0,R,1,0.3095,5,,
14960,,,L,9,0.3095,25,Yainer Diaz,673237.0
1433,,,R,7,0.3095,12,Blaze Alexander,677942.0
11877,,,L,6,0.3094054054054054,36,Ozzie Albies,645277.0
11124,,,R,6,0.3093823529411765,30,Nathan Lukes,664770.0
8703,,,R,2,0.3093150684931507,58,Ketel Marte,606466.0
100,David Peterson,656849.0,R,1,0.30925,25,,
11011,,,L,7,0.30924999999999997,21,Mookie Betts,605141.0
140,Eduardo Rodriguez,593958.0,R,2,0.3092105263157895,46,,
2135,,,L,3,0.30911428571428573,34,Bryce Harper,547180.0
5313,,,L,3,0.309,4,Gavin Lux,666158.0
13216,,,L,6,0.309,26,Spencer Steer,668715.0
12114,,,L,4,0.3089090909090909,56,Rafael Devers,646240.0
2477,,,R,1,0.3088888888888889,31,Carlos Correa,621043.0
9564,,,L,8,0.3088214285714286,23,Luis Rengifo,650859.0
15254,,,R,8,0.30880898876404494,74,Zach Neto,687263.0
14139,,,L,1,0.30876190476190474,16,Tyler Freeman,671289.0
14067,,,L,2,0.3087241379310345,24,Ty France,664034.0
4410,,,L,8,0.3087142857142857,5,Dylan Crews,686611.0
5547,,,L,6,0.3086666666666667,44,Gunnar Henderson,683002.0
4232,,,R,7,0.3085862068965517,27,Drake Baldwin,686948.0
15,Andrew Abbott,671096.0,R,7,0.3084769230769231,46,,
11262,,,L,6,0.3083913043478261,21,Nick Gonzales,693304.0
207,Jake Irvin,663623.0,L,1,0.3083214285714286,44,,
14144,,,L,6,0.30830434782608696,21,Tyler Freeman,671289.0
11265,,,L,9,0.3082105263157895,15,Nick Gonzales,693304.0
13528,,,R,4,0.30812500000000004,22,Thomas Saggese,695336.0
361,Michael McGreevy,700241.0,L,7,0.3081,8,,
386,,,L,4,0.3080689655172414,27,Alejandro Kirk,672386.0
7676,,,R,8,0.30806185567010314,76,Jonathan India,663697.0
4389,,,L,5,0.3080333333333333,27,Dylan Carlson,666185.0
14578,,,R,8,0.308025,31,Wenceel Perez,672761.0
6399,,,L,1,0.308,7,Jacob Wilson,805779.0
13791,,,L,6,0.3079318181818182,38,Trea Turner,607208.0
12632,,,R,1,0.30791666666666667,20,Royce Lewis,668904.0
9199,,,R,4,0.30790434782608694,98,Lars Nootbaar,663457.0
220,Jake Irvin,663623.0,R,4,0.3079041095890411,72,,
8169,,,R,6,0.30786206896551727,55,Jose Ramirez,608070.0
10682,,,L,8,0.30783333333333335,9,Mickey Moniak,666160.0
124,Dustin May,669160.0,R,6,0.3078181818181818,17,,
2255,,,R,4,0.30777464788732395,64,Byron Buxton,621439.0
407,Quinn Priester,682990.0,R,8,0.30776785714285715,48,,
1841,,,R,6,0.3076470588235294,77,Brenton Doyle,686668.0
9538,,,L,1,0.3076,3,Luis Matos,682641.0
8814,,,R,3,0.30758823529411766,10,Kody Clemens,665019.0
4415,,,R,4,0.3075652173913043,20,Dylan Crews,686611.0
10887,,,L,5,0.3075333333333334,12,Mike Trout,545361.0
12257,,,R,6,0.3074887218045113,99,Randy Arozarena,668227.0
14864,,,L,5,0.3074782608695652,43,Wilmer Flores,527038.0
7026,,,R,1,0.30740425531914894,41,Jeff McNeil,643446.0
13279,,,R,1,0.3073461538461538,67,Steven Kwan,680757.0
3398,,,L,6,0.30733333333333335,44,Corbin Carroll,682998.0
13285,,,R,7,0.3072886597938144,88,Steven Kwan,680757.0
6073,,,R,7,0.3072061855670103,88,J.P. Crawford,641487.0
3615,,,L,6,0.307125,6,Dalton Rushing,687221.0
4405,,,L,3,0.3071111111111111,9,Dylan Crews,686611.0
8019,,,R,7,0.30705263157894735,22,Jose Altuve,514888.0
6262,,,R,1,0.3069736842105263,36,Jackson Chourio,694192.0
3133,,,R,1,0.3069285714285714,47,Cody Bellinger,641355.0
1766,,,R,4,0.3069090909090909,62,Brayan Rocchio,677587.0
1690,,,R,1,0.3067727272727273,27,Brandon Lowe,664040.0
10265,,,L,6,0.30677272727272725,18,Matt Wallner,670242.0
5359,,,R,3,0.3067708333333333,33,George Springer,543807.0
14154,,,R,7,0.30668,19,Tyler Freeman,671289.0
15250,,,R,4,0.30659701492537317,61,Zach Neto,687263.0
10050,,,R,5,0.30652100840336133,108,Masyn Winn,691026.0
12253,,,R,2,0.30644,50,Randy Arozarena,668227.0
4114,,,R,4,0.30642857142857144,27,Dillon Dingler,693307.0
13863,,,L,5,0.30641379310344824,25,Trevor Story,596115.0
6987,,,L,8,0.3064,31,Jazz Chisholm,665862.0
5372,,,L,6,0.30636363636363634,31,Geraldo Perdomo,672695.0
13215,,,L,5,0.3063432835820895,62,Spencer Steer,668715.0
10542,,,L,6,0.30628,24,Michael Conforto,624424.0
9442,,,R,8,0.30618852459016394,105,Lourdes Gurriel Jr.,666971.0
