,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
424,Jaden Hill,COL,30250,677955.0,253.94,58.0,0.0,55.0,31.04,0.0,0.0,0.0,29.0,8.0,1.2,0.233,9.2,59.0,22.0,3.4,0.085,7.0,34.96,11.040000000000001,1.0,4.5,1.33,0.463,0.241,0.239,43.14853,77.21771,41.59207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.09
427,Jose Corniell,TEX,27984,692030.0,249.837,57.8,3.24,49.400000000000006,27.16,1.0,0.3,0.0,25.0,7.0,1.1,0.246,9.5,61.0,23.0,3.6,0.092,3.0,32.2,9.200000000000001,1.0,3.89,1.25,0.445,0.24,0.255,42.7030275,72.5536875,39.80088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.32
428,Yariel Rodriguez,TOR,33838,684320.0,253.982,57.6,0.0,52.32000000000001,31.04,0.0,0.0,0.0,29.0,9.0,1.4,0.226,8.9,57.0,26.0,4.1,0.102,3.0,32.2,10.120000000000001,1.0,4.53,1.36,0.38,0.242,0.294,47.362014,69.24771,41.206662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.01
429,Caleb Thielbar,FA,10078,573204.0,243.902,57.6,0.0,49.480000000000004,26.189999999999998,0.0,0.0,0.0,24.0,8.0,1.2,0.249,9.5,61.0,18.0,2.8,0.072,0.0,30.360000000000003,10.120000000000001,1.0,3.75,1.17,0.358,0.234,0.312,47.161972,64.971388,39.081773999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.22
431,Brennan Bernardino,BOS,16835,657514.0,252.944,57.4,0.0,54.0,30.07,0.0,0.0,0.0,28.0,7.0,1.1,0.217,8.6,55.0,23.0,3.6,0.09,6.0,34.96,11.040000000000001,1.0,4.39,1.34,0.502,0.229,0.219,41.899088,81.52390399999999,41.024367999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.07
432,Mark Leiter Jr.,NYY,15551,643410.0,243.798,57.4,0.0,49.480000000000004,28.13,0.0,0.0,0.0,26.0,8.0,1.3,0.27,10.3,66.0,19.0,3.0,0.079,5.0,31.28,9.200000000000001,1.0,4.08,1.19,0.449,0.238,0.252,40.652288,69.791721,37.952722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.84
433,Seth Johnson,PHI,26020,686751.0,251.706,57.3,1.62,51.32000000000001,29.099999999999998,0.0,0.2,0.0,27.0,8.0,1.3,0.235,9.3,59.0,25.0,3.9,0.1,3.0,32.2,10.120000000000001,1.0,4.24,1.33,0.451,0.238,0.25,42.765029999999996,73.874493,40.081734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.27
434,Luis Curvelo,TEX,24710,681168.0,248.042,57.2,0.0,51.24000000000001,28.13,0.0,0.0,0.0,26.0,7.0,1.1,0.231,9.0,57.0,22.0,3.5,0.09,3.0,33.120000000000005,10.120000000000001,1.0,4.09,1.28,0.486,0.237,0.225,40.992685,77.421236,40.316517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.53
435,Steven Wilson,CWS,20353,621051.0,246.587,56.8,0.0,50.480000000000004,29.099999999999998,0.0,0.0,0.0,27.0,9.0,1.4,0.216,8.4,53.0,23.0,3.6,0.093,4.0,31.28,9.200000000000001,1.0,4.28,1.29,0.263,0.224,0.379,54.5025465,59.1083955,39.576184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.35
436,Colton Gordon,HOU,31312,676467.0,240.87,56.8,4.86,53.24000000000001,27.16,2.0,1.7,0.0,25.0,9.0,1.4,0.198,7.6,48.0,13.0,2.1,0.052,1.0,33.120000000000005,10.120000000000001,1.0,3.96,1.17,0.355,0.234,0.312,51.442820000000005,70.598975,42.62919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.51
