,BatterName,batter,IsBIP,PA_flag,IsAirPull,Air Pull / PA,Air Pull / BIP,Sample,player_name,pitcher
328,Jose Ramirez,608070.0,420,514.0,107,0.208,0.255,Hitters,,
329,Jose Siri,642350.0,12,24.0,1,0.042,0.083,Hitters,,
330,Jose Tena,677588.0,116,169.0,6,0.036,0.052,Hitters,,
331,Jose Trevino,624431.0,208,251.0,45,0.179,0.216,Hitters,,
332,Josh Bell,605137.0,307,435.0,48,0.11,0.156,Hitters,,
333,Josh Jung,673962.0,261,384.0,33,0.086,0.126,Hitters,,
334,Josh Lowe,666139.0,220,322.0,25,0.078,0.114,Hitters,,
335,Josh Naylor,647304.0,373,488.0,64,0.131,0.172,Hitters,,
336,Josh Palacios,641943.0,93,145.0,12,0.083,0.129,Hitters,,
337,Josh Rojas,668942.0,144,211.0,19,0.09,0.132,Hitters,,
338,Josh Smith,669701.0,339,463.0,38,0.082,0.112,Hitters,,
339,Juan Soto,665742.0,349,552.0,44,0.08,0.126,Hitters,,
340,Julio Rodriguez,677594.0,404,576.0,45,0.078,0.111,Hitters,,
341,Jung Hoo Lee,808982.0,415,515.0,55,0.107,0.133,Hitters,,
342,Junior Caminero,691406.0,382,521.0,68,0.131,0.178,Hitters,,
343,Jurickson Profar,595777.0,160,226.0,27,0.119,0.169,Hitters,,
344,Justin Dean,681909.0,0,1.0,0,0.0,,Hitters,,
345,Justin Foscue,679822.0,6,9.0,2,0.222,0.333,Hitters,,
346,Justin Turner,457759.0,120,161.0,17,0.106,0.142,Hitters,,
347,Justyn-Henry Malloy,669234.0,67,118.0,12,0.102,0.179,Hitters,,
348,Kameron Misner,670224.0,131,217.0,19,0.088,0.145,Hitters,,
349,Ke'Bryan Hayes,663647.0,348,464.0,24,0.052,0.069,Hitters,,
350,Keibert Ruiz,660688.0,230,267.0,31,0.116,0.135,Hitters,,
351,Kenedy Corona,685744.0,1,4.0,0,0.0,0.0,Hitters,,
352,Kerry Carpenter,681481.0,263,363.0,61,0.168,0.232,Hitters,,
353,Keston Hiura,669374.0,11,21.0,3,0.143,0.273,Hitters,,
354,Ketel Marte,606466.0,304,420.0,56,0.133,0.184,Hitters,,
