Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Ronan",,0.0417,0.0564,0,5.55885,1,0,0,0,,1,4.73,1.0516,0.6601,0.61765,0.138444,0.7464,0.0287,0.0514,0.7153,6.4377,6.7176,0.958333,1.246,0.151226,0.157801,-0.006575047969818115,0.267433,1.798,0.296628,0.709335,0.418986,,5.89771,-0.0167838,-0.0470228,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Mason Ronan","sa3020318",680780
"Quinton Martinez",,0.0416,0.06,0.0073,5.59557,0.8771,0.0261,0,0,,1,4.684,1.1044,0.6646,0.62173,0.145111,0.6421,0.0248,0.0545,0.6061,5.4549,5.7789,0.943934,1.306,0.129398,0.137084,-0.007685720920562744,0.276972,1.7465,0.296425,0.70101,0.427002,,5.89918,-0.0168,-0.0470228,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Quinton Martinez","sa3020109",689703
"Andy Rodriguez","TBR",0.0397,0.0583,0,5.87511,1,0,0,0,,1,4.684,1.1681,0.698,0.65279,0.156778,0.5992,0.0284,0.0476,0.5538,4.9842,5.3928,0.924232,1.411,0.118232,0.127925,-0.009692579507827759,0.289334,1.7673,0.304009,0.690847,0.467853,,6.00605,-0.016815,-0.047529,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Andy Rodriguez","sa3017620",703142
"Eybersson Polanco","LAA",0.0389,0.0591,0,5.88429,1,0,0,0,,1,4.704,1.1146,0.6971,0.65381,0.155889,0.6758,0.0285,0.0456,0.6394,5.7546,6.0822,0.946138,1.403,0.135927,0.143665,-0.007738098502159119,0.279867,1.7904,0.30079,0.695415,0.437543,,6.04709,-0.0168303,-0.0465617,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Eybersson Polanco","sa3018301",702882
"Brayan Restituyo","ATH",0.0419,0.0589,0.005,5.77602,0.906,0.02,0,0,,1,4.683,1.0861,0.6822,0.64178,0.161889,0.6565,0.0257,0.0539,0.6497,5.8473,5.9085,0.989642,1.457,0.138736,0.140188,-0.0014520585536956787,0.273398,1.7426,0.292378,0.699493,0.388194,,6.07149,-0.0168463,-0.0450323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Brayan Restituyo","sa3015461",692844
"Cade Austin","NYY",0.0423,0.0586,0.0058,5.65848,0.8994,0.0214,0,0,,1,4.656,1.0903,0.67,0.62872,0.167556,0.6097,0.0253,0.0476,0.656,5.904,5.4873,1.07594,1.508,0.140893,0.130949,0.009944155812263489,0.272664,1.7,0.290615,0.702869,0.409347,,5.97326,-0.0168884,-0.0499561,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cade Austin","sa3023372",694475
"Elwis Mijares","NYM",0.043,0.055,0,5.48739,1,0,0,0,,1,4.669,1.0467,0.6516,0.60971,0.146444,0.6841,0.0283,0.0466,0.6992,6.2928,6.1569,1.02207,1.318,0.149754,0.14652,0.0032341033220291138,0.265775,1.7308,0.291095,0.707311,0.418787,,5.83261,-0.0168978,-0.0496301,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Elwis Mijares","sa3021009",808274
"Tyler Ahearn",,0.0409,0.0572,0,5.76333,1,0,0,0,,1,4.666,1.1196,0.6826,0.64037,0.154889,0.6131,0.0283,0.0478,0.6108,5.4972,5.5179,0.996249,1.394,0.130904,0.131397,-0.0004929155111312866,0.279544,1.7327,0.297805,0.692744,0.421999,,5.90979,-0.0169071,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Tyler Ahearn","sa3017747",671129
"Carlos Lomeli",,0.0408,0.0612,0.0082,5.77431,0.8623,0.0293,0,0,,1,4.68,1.1254,0.6852,0.64159,0.149778,0.6325,0.0244,0.0442,0.6009,5.4081,5.6925,0.95004,1.348,0.128397,0.13515,-0.006752148270606995,0.281118,1.7579,0.299949,0.692864,0.439993,,5.91055,-0.0169254,-0.0470228,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Carlos Lomeli","sa3018108",676355
"Ignacio Briceno","DET",0.0407,0.0573,0,5.57649,1,0,0,0,,1,4.721,1.116,0.6639,0.61961,0.133111,0.6728,0.0286,0.0487,0.5711,5.1399,6.0552,0.848841,1.198,0.12097,0.142512,-0.02154204249382019,0.279035,1.7888,0.298271,0.70199,0.441349,,5.88788,-0.016932,-0.0484022,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ignacio Briceno","sa3015459",692829
