,player_name,pitcher,fDurability,fERA,fControl,fStuff
379,Antonio Santos,665733.0,91.0,102.0,99.0,95.0
380,Antonio Senzatela,622608.0,101.0,97.0,120.0,94.0
381,Antonio Velez,669163.0,,90.0,117.0,94.0
382,Antwone Kelly,699008.0,90.0,103.0,113.0,104.0
383,Anyelo Ovando,694041.0,83.0,96.0,91.0,91.0
384,Anyer Laureano,703242.0,62.0,112.0,95.0,122.0
385,Archie Bradley,605151.0,,96.0,101.0,82.0
386,Argenis Aparicio,90.0,,91.0,,
387,Argenis Cayama,821783.0,,93.0,94.0,95.0
388,Aric McAtee,813878.0,,108.0,113.0,105.0
389,Arij Fransen,687677.0,110.0,90.0,86.0,87.0
390,Armando Vasquez,684848.0,72.0,98.0,91.0,105.0
391,Aroldis Chapman,547973.0,140.0,,,
392,Art Warren,605521.0,63.0,86.0,89.0,96.0
393,Ashton Goudeau,623485.0,,84.0,95.0,82.0
394,Ashton Izzi,802416.0,81.0,101.0,105.0,94.0
395,Augusto Calderon,680601.0,81.0,94.0,102.0,101.0
396,Augusto Mendieta,800078.0,68.0,110.0,116.0,112.0
397,Austin Adams,613534.0,84.0,95.0,82.0,101.0
398,Austin Aldeano,699054.0,67.0,92.0,84.0,108.0
399,Austin Amaral,694544.0,99.0,99.0,110.0,91.0
400,Austin Becker,678014.0,74.0,103.0,101.0,105.0
401,Austin Bergner,666123.0,117.0,97.0,102.0,96.0
402,Austin Bibens-Dirkx,502212.0,,91.0,96.0,
403,Austin Brice,592169.0,65.0,95.0,87.0,96.0
404,Austin Briggs,682106.0,70.0,91.0,78.0,95.0
405,Austin Cates,827110.0,82.0,100.0,117.0,101.0
406,Austin Cox,680735.0,116.0,94.0,100.0,91.0
407,Austin Davis,656354.0,75.0,102.0,87.0,99.0
408,Austin Drury,682200.0,,,90.0,
409,Austin Ehrlicher,805972.0,82.0,111.0,100.0,105.0
410,Austin Emener,815305.0,55.0,92.0,112.0,101.0
411,Austin Gomber,596295.0,100.0,108.0,124.0,98.0
412,Austin Gordon,803135.0,67.0,93.0,113.0,98.0
413,Austin Hansen,667712.0,,86.0,82.0,90.0
414,Austin Kitchen,685116.0,133.0,100.0,113.0,85.0
415,Austin Krob,689474.0,83.0,98.0,87.0,83.0
416,Austin Love,676153.0,105.0,105.0,103.0,107.0
417,Austin Marozas,676540.0,,,81.0,
418,Austin Peterson,804926.0,119.0,98.0,114.0,93.0
419,Austin Pope,687166.0,100.0,101.0,105.0,107.0
420,Austin Pruitt,643493.0,67.0,93.0,111.0,87.0
421,Austin Roberts,686762.0,120.0,99.0,98.0,104.0
422,Austin Schulfer,662165.0,83.0,98.0,99.0,88.0
423,Austin Smith,694518.0,,91.0,94.0,96.0
424,Austin Smith - 694518,694518.0,95.0,,110.0,
425,Austin Strickland,814088.0,93.0,106.0,101.0,97.0
426,Austin Temple,695368.0,,100.0,71.0,96.0
427,Austin Troesser,809340.0,63.0,100.0,100.0,97.0
428,Austin Vernon,694391.0,114.0,99.0,100.0,114.0
429,Austin Voth,608723.0,82.0,86.0,103.0,102.0
430,Austin Warner,677369.0,,,115.0,
431,Austin Warren,681810.0,109.0,101.0,108.0,98.0
432,Avery Short,683008.0,93.0,93.0,104.0,80.0
433,Avery Weems,686830.0,76.0,90.0,107.0,101.0
434,Axel Andueza,672847.0,,94.0,101.0,94.0
435,Ayendy Bravo,90.0,,93.0,,
436,Bailey Dees,676442.0,121.0,102.0,100.0,100.0
437,Bailey Falter,663559.0,111.0,92.0,106.0,83.0
438,Bailey Horn,690544.0,110.0,105.0,106.0,105.0
439,Bailey Ober,641927.0,122.0,106.0,123.0,106.0
440,Bailey Reid,690232.0,,,83.0,107.0
441,Baldemix Cabrera,90.0,,89.0,,
442,Baron Stuart,685067.0,103.0,99.0,91.0,89.0
443,Barrett Kent,806010.0,65.0,94.0,98.0,87.0
444,Barrett Loseke,667435.0,,99.0,104.0,98.0
445,Bayant Melo,90.0,,93.0,,
446,Bayden Root,694843.0,94.0,103.0,107.0,88.0
447,Bear Bellomy,680804.0,,91.0,94.0,96.0
448,Beau Blanchard,699782.0,68.0,90.0,115.0,98.0
449,Beau Brieske,689225.0,92.0,96.0,101.0,100.0
450,Beau Burrows,663366.0,81.0,96.0,104.0,99.0
451,Beau Philip,685121.0,58.0,92.0,101.0,90.0
452,Beau Sulser,676641.0,64.0,90.0,108.0,88.0
453,Beck Way,694360.0,116.0,92.0,88.0,91.0
454,Ben Anderson,670391.0,110.0,91.0,99.0,79.0
455,Ben Beutel,694969.0,63.0,97.0,109.0,95.0
456,Ben Bowden,641386.0,106.0,102.0,108.0,105.0
457,Ben Braymer,664069.0,,80.0,93.0,79.0
458,Ben Brecht,669229.0,,,122.0,
459,Ben Brown,676962.0,88.0,106.0,102.0,114.0
460,Ben Brutti,804992.0,78.0,106.0,95.0,93.0
461,Ben Casparius,676508.0,113.0,100.0,101.0,105.0
462,Ben Ethridge,805998.0,71.0,96.0,107.0,84.0
463,Ben Gross,682199.0,,,95.0,
464,Ben Hansen,810091.0,66.0,90.0,96.0,82.0
465,Ben Harris,677946.0,92.0,102.0,77.0,97.0
466,Ben Hecht,643357.0,,97.0,74.0,99.0
